ID_number,Username,Password,Name,Gender,Student_status,Marital_status,Address,Phone_number,College,Department,Major,Family_head_ID
950772843,ncrest00,a0b2c3d45,Niall Crestly,M,1,0,"10611 NE 68th St, Kirkland, WA 98033",4254540085,Bellevue College,Health,Radiation Therapy,950772843
950619453,kaymills,softball4life,Kayla Miller,F,1,0,"15600 NE 8th St, Bellevue, WA 98008",4252741587,Bellevue College,SocSci,Digital Marketing,950619453
950280021,rydaniel,peanut00butter,Ryan Daniels,M,1,0,"15253 Bel-Red Rd, Bellevue, WA 98007",4256446066,Bellevue College,Edu,Early Childhood Education,950280021
950221890,davriley,h0tsauce,Riley Davis,M,1,1,"2122 152nd Ave NE, Redmond, WA 98052",4257468200,Bellevue College,Bus,Marketing Management,950772843
674559076,nathanj,discoveryy2,Nathan Jackson,M,1,0,"1328 156th Ave NE, Bellevue, WA 98008",4252140011,Bellevue College,Design,Interior Studies,950619453
674223490,hannaaaaa,dinosauuurs,Hanna Logan,F,1,0,"15600 NE 8th St C-1, Bellevue, WA 98008",4256442445,Bellevue College,Health,Diagnostic Ultrasound,950280021
674223486,stephhhjames,**stardust,Stephanie James,F,1,0,"13440 Main St, Bellevue, WA 98005",4257467944,Bellevue College,SocScience,Criminal Justice,674223490
950347266,dyl_rod,asdfgh_j,Dylan Rodriguez ,M,1,0,"11200 SE 30th St, Bellevue, WA 98004",4257497396,Bellevue College,Health,Radiation Therapy,674223490
950347287,arodriguez,banana8bread,Austin Rodriguez,M,1,0,"11200 SE 30th St, Bellevue, WA 98004",4257497396,Bellevue College,Health,Radiologic Technology,950347266
950347288,david_r,bluefish97,David Rodriguez,M,1,0,"11200 SE 30th St, Bellevue, WA 98004",4257497396,Bellevue College,Health,Radiation Therapy,950347266
950059225,chllewis,0505applesauce,Chloe Lewis,F,1,0,"4400 Lake Washington Blvd SE, Bellevue, WA 98006",4254526914,Bellevue College,Sci,Robotics and Artificial Intelligence,674223490
950729675,dwnwg,greenBlueRed,Dawn Wong,F,1,0,"7823 SE 28th St, Mercer Island, WA 98040",2062300745,Bellevue College,Health,Diagnostic Ultrasound,674223490
674389035,stephalee,rainbow198,Stephanie Lee,F,0,1,"87854 NE Crystal Rd, Renton, WA 98067",4256789453,Bellevue College,SocSci,Economics,674389035
675543088,stu111lee,5234aeiou,Stewart Lee,M,0,1,"87854 NE Crystal Rd, Renton, WA 98067",4256228181,Bellevue College,Sci,Environmental Science,675543088
950678989,baker_jane,425photoShop,Jane Baker,F,1,0,"700 Bellevue Way NE #140, Bellevue, WA 98004",4252798860,Bellevue College,Bus,Digital Marketing,674223490
674582830,satoo_l,91allthecats,Lily Sato,F,1,0,"5325 NE 4th St, Renton, WA 98059",4252264316,Bellevue College,SocSci,Economics,674223490
950259948,amytsaiii,chocolove,Amy Tsai,F,1,0,"218 SE 8th St, Issaquah, WA 98027",4256669007,Bellevue College,Sci,Computer Science,950259948
923564371,shimmer123,374a^a^a456,Shivani Mohapatra,F,1,0,"21904 Bel-Red Rd, Bellevue, WA 98005",2068777777,Bellevue College,Sci,Botany,923564371
763756422,_daniels,!whiskE321,Jack Daniels,M,1,0,"#A304 1900 Redmond Apts, Redmond, WA 98052 ",2060055633,Bellevue College,A & H,English,763756422
950778432,tyler_d,lakeedrive_,Tyler Davis,M,1,1,"2122 152nd Ave NE, Redmond, WA 98052",4257468200,Bellevue College,Bus,Marketing Management,950221890
950442789,chrisprkr,sn0wst0rm,Christopher Parker,M,1,1,"601 SW 41st St, Renton, WA 98057",8888884532,Bellevue College,Bus,Accounting,950442789
950442788,k8parker,elephantss09,Katie Parker,F,1,1,"601 SW 41st St, Renton, WA 98057
",8888884532,Bellevue College,Health,Radiation Therapy,950442788
674582822,ct_1995,b_agelss,Charlie Tran,M,1,0,"735 Hardie Ave SW, Renton, WA 98057",5419554700,Bellevue College,Bus,Digital Marketing,674582822
950059236,paigee_c,kalamaz00o,Paige Carpenter,F,1,0,"6975 176th Ave NE #365, Redmond, WA 98052",4258831550,Bellevue College,SocSci,Economics,950059236
950347299,christyhh,RedBlueGreeeen,Christy Hahn,F,1,0,"6046 West Lake Sammamish Pkwy NE, Redmond, WA 98052",2064777275,Bellevue College,Health,Radiologic Technology,950347299
